,current_market_price,purchase_price,purchase_age_days,initial_warranty_days,warranty_left_days,condition_score,scratch_severity,dent_severity,crack_severity,usage_severity,resale_price
current_market_price,1.0,0.9897201888476875,-0.007382820166354226,0.007318820271573893,0.019375052056670696,-0.02497408117701925,0.03317757518882853,0.03484898558134513,0.025445869393469198,0.01344992714529795,0.5906801306209861
purchase_price,0.9897201888476875,1.0,-0.007814195295730828,0.00699624385550265,0.01960131320016598,-0.026879350827965935,0.03434662771829004,0.03830332192580795,0.02752817771780578,0.014340784129576989,0.5824880681280331
purchase_age_days,-0.007382820166354226,-0.007814195295730828,1.0,-0.008303654062434454,-0.6760974714661425,-0.4137331530690187,0.29671972029720817,0.21282267142260203,0.13558731216801012,0.37399209587505605,-0.3959115249199932
initial_warranty_days,0.007318820271573893,0.00699624385550265,-0.008303654062434454,1.0,0.5010771259769055,-0.0029299322562794383,0.00487844448446512,0.03350275392708061,0.02026722856050018,0.004512583206430924,0.040955710585100384
warranty_left_days,0.019375052056670696,0.01960131320016598,-0.6760974714661425,0.5010771259769055,1.0,0.31480230175870516,-0.21471038664906011,-0.15733387842245347,-0.10743990897584411,-0.27814194116929386,0.354042688645609
condition_score,-0.02497408117701925,-0.026879350827965935,-0.4137331530690187,-0.0029299322562794383,0.31480230175870516,1.0,-0.5976047470653539,-0.6737193989660814,-0.790805143219507,-0.7064164644549991,0.48347129867786365
scratch_severity,0.03317757518882853,0.03434662771829004,0.29671972029720817,0.00487844448446512,-0.21471038664906011,-0.5976047470653539,1.0,0.3805077982023254,0.27065072978478416,0.4396040003880882,-0.2783090266407548
dent_severity,0.03484898558134513,0.03830332192580795,0.21282267142260203,0.03350275392708061,-0.15733387842245347,-0.6737193989660814,0.3805077982023254,1.0,0.39737503658441575,0.42679197455098794,-0.28707405856330204
crack_severity,0.025445869393469198,0.02752817771780578,0.13558731216801012,0.02026722856050018,-0.10743990897584411,-0.790805143219507,0.27065072978478416,0.39737503658441575,1.0,0.33229407541069905,-0.3249013417521543
usage_severity,0.01344992714529795,0.014340784129576989,0.37399209587505605,0.004512583206430924,-0.27814194116929386,-0.7064164644549991,0.4396040003880882,0.42679197455098794,0.33229407541069905,1.0,-0.3579196099734842
resale_price,0.5906801306209861,0.5824880681280331,-0.3959115249199932,0.040955710585100384,0.354042688645609,0.48347129867786365,-0.2783090266407548,-0.28707405856330204,-0.3249013417521543,-0.3579196099734842,1.0
