seller_description,count
Damaged device. Cracks and deep dents. Missing all accessories.,519
Severe physical damage. Multiple cracks. Missing charger. Powers on.,497
Cracked screen with multiple dents. Missing charger and box. Functional.,478
Like new condition. Original charger and box included.,318
Minor scratches on body.,312
Barely used product with original packaging and invoice available.,306
Very heavy usage. Significant cracks and damage. Works but cosmetically poor. Missing some original accessories.,304
Excellent condition with minimal signs of use. All accessories included.,300
Fully functional with light cosmetic wear.,291
Cracked display corner and heavy dents. Works but in poor cosmetic condition. Missing some original accessories.,278
Heavy usage marks and dents. Missing original accessories. Functional.,255
Visible scratches on body. Noticeable dents. Heavily used with visible wear.,218
Cracked display corner and heavy dents. Works but in poor cosmetic condition.,212
Minor scratches on body. Small dents. Moderate usage marks.,209
Very heavy usage. Significant cracks and damage. Works but cosmetically poor.,196
Small dents.,165
Minor scratches on body. Moderate usage marks.,153
Heavily used. Multiple scratches and dents. Works fine for daily use. Missing some original accessories.,149
Visible scratches on body. Small dents. Heavily used with visible wear.,144
Visible damage on body. Functional but cosmetically worn. No accessories. Missing some original accessories.,140
Visible scratches on body.,135
Old device with heavy signs of usage. Minor crack on edge. Working.,128
Old device with heavy signs of usage. Minor crack on edge. Working. Missing some original accessories.,127
Significant wear. Cracked corner but device works properly.,127
Minor scratches on body. Small dents.,124
Visible damage on body. Functional but cosmetically worn. No accessories.,122
Heavily used. Multiple scratches and dents. Works fine for daily use.,113
Significant wear. Cracked corner but device works properly. Missing some original accessories.,111
Visible scratches on body. Small dents. Moderate usage marks.,109
Major crack visible but product powers on. Visible scratches on body. Noticeable dents.,108
