feature,mean_abs_shap
num__market_price_log,4239.095189998209
num__condition_squared,3973.261869097327
num__current_market_price,3709.6331007850767
num__condition_score,3134.2038201385094
num__purchase_price_log,3028.52650224844
num__condition_age_interaction,2378.8589780666457
num__purchase_price,2139.3312551738227
num__age_years,1437.2857319633363
num__damage_condition_ratio,1063.8047174593787
num__age_log,1018.1919905362126
num__purchase_age_days,917.3326647130566
num__electronics_flag,697.9050772003518
num__crack_severity,676.5236962997711
cat__condition_grade_Reject,613.5478731161587
num__weighted_defect_score,564.6084736642213
num__price_retention_ratio,486.5776394658126
num__total_damage_score,471.4467334318033
num__high_value_product_flag,421.30387537521466
num__excellent_condition_flag,413.71979484325897
num__warranty_left_days,411.0083536078477
num__furniture_flag,380.5392104230532
cat__product_category_Furniture,331.9472730189903
num__initial_warranty_days,324.44730665520444
cat__condition_grade_A,204.8719968472388
num__age_warranty_interaction,156.7059880401603
num__dent_severity,132.33600862227098
num__heavily_damaged_flag,125.70811102715933
num__warranty_ratio,123.90878417994988
num__scratch_severity,105.02736098045595
cat__product_category_Microwaves,94.09043707013785
num__usage_severity,92.87846453862389
num__defect_score,92.5983808168471
cat__condition_grade_B,89.72936148444408
cat__product_category_Televisions,89.17256755697281
num__premium_brand_flag,85.12413041173374
num__missing_accessories_flag,61.36213228629427
num__warranty_left_log,35.70094188186137
cat__missing_accessories_No,33.13232915630076
cat__condition_grade_C,32.91182594839213
cat__brand_IKEA,31.88282688578745
cat__product_category_Laptops,29.989320088282454
cat__missing_accessories_Yes,29.51144519568207
cat__product_category_Mobile Phones,22.334165747481542
cat__product_category_Washing Machines,19.0143998790309
cat__product_category_Refrigerators,18.490669411472577
num__long_warranty_flag,18.102188465966655
cat__brand_Godrej,12.163607225977524
cat__product_category_Headphones,10.945502766295899
cat__condition_grade_D,9.266133438680129
cat__brand_Whirlpool,8.051455712222262
cat__brand_Samsung,5.553744401679919
cat__brand_Dell,5.277170932440634
cat__brand_Sony,4.219151241066277
cat__brand_HP,4.218228162953015
cat__brand_LG,3.621559699634459
cat__brand_Lenovo,3.5793771738663103
cat__product_category_Smart Watches,3.3413174787262165
cat__brand_Apple,2.269535032522385
num__expired_warranty_flag,0.0
cat__brand_Boat,0.0
cat__product_category_Tablets,0.0
num__is_supported_hackon_category,0.0
cat__brand_JBL,0.0
